,0,1,2,3,4,5,6,7,8,9,10,11,12,user_id
130,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.14754775514208532,1.6512594779832392,2.8644076407904673,1.3860917469950775,-0.636972510735826,2.2409192542631615,-0.566526799003001,-0.14570178114558496,1.0112609674137416,-0.05382182714332933,278
59,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,1.0112609674137416,0.2950549293104651,278
201,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,0.6139537686402193,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,0.09393492820931727,-0.3621764637056963,-0.17232126478810175,-0.14570178114558496,1.0112609674137416,-0.07874159546145751,278
187,-0.5160185253393722,0.2093914004977504,-0.6936069236855793,1.0825700909677916,-0.39208637550905434,1.8793808972417658,-0.5866057322137856,1.015513872966237,1.0721824012975518,0.9027847376161691,-0.14570178114558496,1.0112609674137416,-0.10366136377958568,278
425,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,-0.35032595738467337,-0.0912014796205216,283
423,-0.3250664006768972,-0.6623063566365308,-0.06727157622379483,0.6139537686402193,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,-0.35032595738467337,-0.10366136377958568,283
410,-0.5160185253393722,-0.6623063566365308,2.3721397770484183,0.20391448660359376,3.5898183646297745,1.9888283131916216,-0.5866057322137856,-0.636972510735826,2.825287680745966,2.2645856739949117,-0.14570178114558496,0.10353635088146493,0.07077701444731153,284
412,-0.37280443184251594,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.03594888188070931,0.6328799822062389,-0.4145224206220867,-0.3621764637056963,-0.566526799003001,0.6752173263419305,0.10353635088146493,0.045857246129183356,286
411,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,0.20247325946975958,-0.16029374620638473,-0.3621764637056963,-0.566526799003001,0.6752173263419305,0.10353635088146493,0.03339736197011927,286
493,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.10353635088146493,0.045857246129183356,288
415,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.5573986591476032,-0.10366136377958568,289
416,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,2.727515095060719,-0.35032595738467337,0.33243458178765734,295
417,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,0.45354384773270584,0.252827849719131,-0.3621764637056963,0.5444160701480787,2.727515095060719,0.10353635088146493,0.3698142342648496,297
418,0.056837848648052774,-0.6623063566365308,0.19644857007590388,0.7018193290766391,-0.39208637550905434,-0.36429112973027644,0.023137124996226572,-0.636972510735826,-0.3621764637056963,-0.566526799003001,2.727515095060719,0.10353635088146493,0.3822741184239137,297
419,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.9666208886331005,0.5573986591476032,0.24521539267420875,298
428,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,1.0112609674137416,-0.07874159546145751,300
429,-0.5160185253393722,0.41055242137489223,-0.6936069236855793,0.9068389700949518,-0.07772547497177841,-0.36429112973027644,1.2067556125215444,0.6023922770407213,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,1.0112609674137416,-0.05382182714332933,300
432,0.009099817482434026,0.27644507412346436,-0.1332016127987195,-0.41114443645134463,-0.39208637550905434,-0.36429112973027644,0.13073880568034638,1.1744067944760508,0.7534359868523856,0.006863068945943371,2.317055541316962,-0.35032595738467337,-0.05382182714332933,305
434,-0.5160185253393722,1.1816696680706025,0.9546439906875377,-0.3525673961603981,-0.39208637550905434,0.7849067377432085,0.345942167048586,1.7146427276094174,4.1533977409341585,2.4437700077289572,0.6752173263419305,-0.35032595738467337,-0.016442174666137073,306
433,0.9161224096291902,0.9469818103806038,1.1524341004123118,0.7603963693675856,2.751522629863705,-0.36429112973027644,1.2067556125215444,-0.636972510735826,-0.3621764637056963,-0.566526799003001,0.6752173263419305,-0.35032595738467337,-0.02890205882520116,306
487,0.056837848648052774,0.3099719109363213,-0.1991316493736442,-0.14754775514208532,0.3938158758341355,0.6754593217933528,1.242622839416251,0.6659494456446468,0.32844076759216395,-0.566526799003001,-0.14570178114558496,0.5573986591476032,0.10815666692450379,308
438,-0.5160185253393722,-0.6623063566365308,-0.2980267042360312,-0.8504722386334435,-0.39208637550905434,0.6207356138184249,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,1.496136433829446,0.10353635088146493,0.2950549293104651,310
436,1.727668939444709,0.5781866054391771,0.4931337346630649,0.1746259664581205,2.070407345366274,-0.36429112973027644,1.0274194780480115,0.6341708613426841,1.8159240350029398,1.117805938097023,-0.14570178114558496,1.0112609674137416,0.34489446594672146,314
